2.6877e-08,0,0,0
2.6877e-08,0.2,0,0
8.6487e-08,0.4,0,0
-1.2722e-08,0.6,0,0
4.8663e-08,0.8,0,0
4.8663e-08,1,0,0
-0.29531,0,0.2,0
-0.23759,0.2,0.2,0
-0.080182,0.4,0.2,0
0.10007,0.6,0.2,0
0.25424,0.8,0.2,0
0.28981,1,0.2,0
-0.46274,0,0.4,0
-0.38599,0.2,0.4,0
-0.13877,0.4,0.4,0
0.14846,0.6,0.4,0
0.39375,0.8,0.4,0
0.46409,1,0.4,0
-0.46409,0,0.6,0
-0.39375,0.2,0.6,0
-0.14846,0.4,0.6,0
0.13876,0.6,0.6,0
0.38599,0.8,0.6,0
0.46274,1,0.6,0
-0.28981,0,0.8,0
-0.25424,0.2,0.8,0
-0.10007,0.4,0.8,0
0.080182,0.6,0.8,0
0.23759,0.8,0.8,0
0.29531,1,0.8,0
4.5264e-08,0,1,0
4.5264e-08,0.2,1,0
-8.4609e-08,0.4,1,0
-5.3061e-09,0.6,1,0
3.7009e-08,0.8,1,0
3.7009e-08,1,1,0
